Species	Woodiness
Miconia grancordata	not assigned
Miconia grandifolia	woody
Miconia grayumii	not assigned
Miconia holosericea	not assigned
Miconia hondurensis	woody
Miconia hyemalis	woody
Miconia hymenonervia	not assigned
Miconia ibaguensis	not assigned
Miconia impetiolaris	woody
Miconia juruensis	not assigned
Miconia karina	not assigned
Miconia klugii	not assigned
Miconia lacera	not assigned
Miconia laevigata	not assigned
Miconia lamprophylla	not assigned
Miconia lanata	not assigned
Miconia lateriflora	not assigned
Miconia lepidota	woody
Miconia ligulata	woody
Miconia ligustroides	woody
Miconia lonchophylla	not assigned
Miconia longibracteata	not assigned
Miconia longifolia	not assigned
Miconia lugonis	not assigned
Miconia matthaei	woody
Miconia medglauca	not assigned
Miconia media	woody
Miconia mimosaefolia	not assigned
Miconia minutiflora	woody
Miconia mirabilis	not assigned
Miconia multiflora	woody
Miconia multispicata	woody
Miconia myriantha	not assigned
Miconia napoana	woody
Miconia nerviblanco	not assigned
Miconia nervosa	woody
Miconia pachyphylla	not assigned
Miconia peqdorada	not assigned
Miconia persicariaefolia	not assigned
Miconia phaeophylla	not assigned
Miconia phanerostila	not assigned
Miconia pilgeriana	woody
Miconia poeppigii	woody
Miconia pohliana	woody
Miconia prasina	woody
Miconia pterocaulon	not assigned
Miconia punctata	woody
Miconia purpono	not assigned
Miconia pyrifolia	woody
Miconia quadrangularis	not assigned
Miconia racemosa	woody
Miconia reducens	not assigned
Miconia rigida	not assigned
Miconia rigidiuscula	woody
Miconia riveti	woody
Miconia roselegante	not assigned
Miconia rubiginosa	not assigned
Miconia ruficalyx	woody
Miconia rufostellulata	not assigned
Miconia rugosa	not assigned
Miconia sachapurp	not assigned
Miconia schnellii	woody
Miconia schunkei	not assigned
Miconia sellowiana	not assigned
Miconia serrulata	not assigned
Miconia shattuckii	not assigned
Miconia simplex	woody
Miconia smaragdina	woody
Miconia spicata	not assigned
Miconia splendens	woody
Miconia stenostachya	not assigned
Miconia stephananthera	not assigned
Miconia stevensiana	woody
Miconia subspicata	woody
Miconia symplectocaulos	woody
Miconia ternatifolia	woody
Miconia tetrandra	woody
Miconia tipica	not assigned
Miconia tomentosa	woody
Miconia tonduzii	woody
Miconia traillii	not assigned
Miconia trinervia	woody
Miconia trinervis	not assigned
Miconia triplinervis	woody
Miconia tschudyoides	not assigned
Miconia zubenetana	not assigned
Micraira subulifolia	herbaceous
Micrandra elata	woody
Micrandra inundata	woody
Micrandra minor	woody
Micrandra rossiana	woody
Micrandra scleroxylon	woody
Micrandra siphonioides	woody
Micrandra spruceana	woody
Micrandra sprucei	woody
Micrandropsis scleroxylon	woody
Micranthemum punctatum	not assigned
Micrantheum demissum	not assigned
Micrantheum ericoides	woody
Micrantheum hexandrum	not assigned
Micranthus alopecuroides	not assigned
Micranthus junceus	herbaceous
Micrargeria filiformis	herbaceous
Micrargeriella aphylla	herbaceous
Micrechites warana	not assigned
Microberlinia bisulcata	not assigned
Microberlinia brazzavillensis	not assigned
Microcachrys tetragona	not assigned
Microchloa altera	herbaceous
Microchloa annua	herbaceous
Microchloa caffra	herbaceous
Microchloa indica	herbaceous
Microchloa kunthii	herbaceous
Microcnemum coralloides	not assigned
Microcnemum fastigiatum	not assigned
Micrococca capensis	woody
Micrococca mercurialis	herbaceous
Micrococca scariosa	woody
Microcoelia corallina	herbaceous
Microcoelia exilis	herbaceous
Microcoelia globulosa	herbaceous
Microcoelia hirschbergii	herbaceous
Microcoelia koehleri	herbaceous
Microcoelia macrorrhynchia	herbaceous
Microcoelia megalorrhiza	herbaceous
Microcoelia moreauae	herbaceous
Microcoelia obovata	herbaceous
Microcoelia ornithocephala	herbaceous
Microcoelia smithii	herbaceous
Microcoelia stolzii	herbaceous
Microcos antidesmifolia	not assigned
Microcos cinnamomifolia	not assigned
Microcos crassifolia	not assigned
Microcos florida	not assigned
Microcos globulifera	not assigned
Microcos lanceolata	not assigned
Microcos latifolia	not assigned
Microcos laurifolia	not assigned
Microcos oligoneura	not assigned
Microcos pachyphylla	not assigned
Microcos paniculata	woody
Microcos saccinervia	not assigned
Microcos stylocarpa	not assigned
Microcos tomentosa	not assigned
Microdesmis caseariaefolia	woody
Microdesmis caseariifolia	woody
Microdesmis keayana	not assigned
Microdesmis puberula	woody
Microdon polygaloides	not assigned
Microglossa albescens	not assigned
Microglossa densiflora	not assigned
Microglossa pyrifolia	not assigned
Microgramma lindbergii	(fern)
Microgramma lycopodioides	(fern)
Microgramma reptans	(fern)
Microgramma squamulosa	(fern)
Microgynoecium tibeticum	not assigned
Microlaena avenacea	herbaceous
Microlaena stipoides	herbaceous
Microlepia marginata	(fern)
Microlepia speluncae	(fern)
Microlepia strigosa	(fern)
Microlobius foetidus	not assigned
Microloma incanum	not assigned
Micromeles alnifolia	woody
Micromelum minutum	woody
Micromelum pubescens	not assigned
Micromeria biflora	not assigned
Micromeria croatica	not assigned
Micromeria fruticosa	not assigned
Micromeria graeca	not assigned
Micromeria juliana	woody
Micromeria myrtifolia	not assigned
Micromeria nervosa	woody
Micromeria punctata	not assigned
Micromeria serpyllifolia	not assigned
Micromeria sinaica	not assigned
Micromonolepis pusilla	not assigned
Micromyrtus blakelyi	not assigned
Micromyrtus ciliata	woody
Micromyrtus clavata	woody
Micromyrtus gammieana	not assigned
Micromyrtus racemosa	woody
Micromyrtus sessilis	woody
Micronychia tsiramiramy	woody
Micropeplis arachnoidea	not assigned
Micropholis acutangula	not assigned
Micropholis brochidodroma	not assigned
Micropholis casiquiarensis	woody
Micropholis chrysophylloides	woody
Micropholis crotonoides	woody
Micropholis dorada	not assigned
Micropholis egensis	woody
Micropholis garciniaefolia	not assigned
Micropholis garciniifolia	not assigned
Micropholis gardneriana	not assigned
Micropholis guianensis	woody
Micropholis guyanensis	woody
Micropholis humboldtiana	not assigned
Micropholis maguirei	woody
Micropholis melinoniana	woody
Micropholis mensalis	not assigned
Micropholis obscura	not assigned
Micropholis splendens	woody
Micropholis tuianensis	not assigned
Micropholis venulosa	woody
Micropholis williami	not assigned
Micropholis williamii	woody
Microphyes minima	not assigned
Microplumeria anomala	not assigned
Micropus californicus	herbaceous
Micropyrum tenellum	herbaceous
Microrrhinum minus	not assigned
Microseris acuminata	herbaceous
Microseris bigelovii	herbaceous
Microseris borealis	not assigned
Microseris campestris	herbaceous
Microseris douglasii	herbaceous
Microseris elegans	herbaceous
Microseris heterocarpa	herbaceous
Microseris laciniata	herbaceous
Microseris lanceolata	herbaceous
Microseris nutans	herbaceous
Microseris paludosa	not assigned
Microseris sylvatica	herbaceous
Microseris troximoides	not assigned
Microsorium diversifolium	(fern)
Microsorium pappei	(fern)
Microsorium punctatum	(fern)
Microsorum pustulatum	(fern)
Microsorum scandens	(fern)
Microstegium ciliatum	herbaceous
Microstegium nudum	herbaceous
Microstegium vimineum	herbaceous
Microsteris gracilis	not assigned
Microstrobos fitzgeraldii	not assigned
Microstylis monophyllos	herbaceous
Microtis parviflora	herbaceous
Microtis unifolia	herbaceous
Microtropis japonica	not assigned
Microtropis occidentalis	not assigned
Microtropis sumatrana	woody
Microula tibetica	herbaceous
Mida salicifolia	not assigned
Mikania aromatica	not assigned
Mikania biformis	not assigned
Mikania cordata	herbaceous
Mikania cordifolia	not assigned
Mikania cynanchifolia	not assigned
Mikania firmula	not assigned
Mikania fragilis	not assigned
Mikania glomerata	not assigned
Mikania guaco	not assigned
Mikania hemisphaerica	not assigned
Mikania hirsutissima	not assigned
Mikania leiostachya	herbaceous
Mikania lundiana	not assigned
Mikania matthewsii	not assigned
Mikania megalophylla	not assigned
Mikania micrantha	herbaceous
Mikania microptera	not assigned
Mikania psilostachya	not assigned
Mikania pyramidata	not assigned
Mikania racemosa	not assigned
Mikania ramosissima	not assigned
Mikania sagittifera	not assigned
Mikania salviaefolia	not assigned
Mikania scandens	herbaceous
Mikania szyszylowiczii	herbaceous
Mikania tonduzii	not assigned
Mikania triangularis	not assigned
Mildbraedia carpinifolia	woody
Mildbraediodendron excelsum	not assigned
Milicia excelsa	woody
Milicia regia	not assigned
Milium effusum	herbaceous
Milium vernale	herbaceous
Miliusa alopecuroides	not assigned
Miliusa horsfieldii	not assigned
Miliusa koolsii	not assigned
Miliusa longiflora	not assigned
Miliusa maingayi	not assigned
Miliusa roxburghiana	not assigned
Miliusa tomentosa	woody
Miliusa tomentosum	not assigned
Miliusa velutina	not assigned
Milleria quinqueflora	herbaceous
Millettia aboensis	not assigned
Millettia atropurpurea	not assigned
Millettia auriculata	not assigned
Millettia barteri	not assigned
Millettia brandisiana	not assigned
Millettia bussei	not assigned
Millettia caudata	not assigned
Millettia chrysophylla	not assigned
Millettia dielsiana	not assigned
Millettia drastica	not assigned
Millettia dura	woody
Millettia ferruginea	woody
Millettia grandis	not assigned
Millettia griffoniana	not assigned
Millettia laurentii	not assigned
Millettia leptobotrys	not assigned
Millettia leucantha	not assigned
Millettia megasperma	not assigned
Millettia oblata	not assigned
Millettia oosperma	not assigned
Millettia orientalis	not assigned
Millettia ovalifolia	not assigned
Millettia pachycarpa	not assigned
Millettia peguensis	not assigned
Millettia pendula	not assigned
Millettia pinnata	not assigned
Millettia pulchra	not assigned
Millettia rhodantha	not assigned
Millettia richardiana	not assigned
Millettia sericea	not assigned
Millettia stuhlmannii	not assigned
Millettia taolanaroensis	not assigned
Millettia thonningii	not assigned
Millettia usaramensis	not assigned
Millettia xylocarpa	not assigned
Millettia zechiana	not assigned
Milligania lindoniana	not assigned
Milligania stylosa	not assigned
Millingtonia hortensis	not assigned
Millotia macrocarpa	not assigned
Millotia myosotidifolia	not assigned
Millotia perpusilla	not assigned
Mimetes argenteus	not assigned
Mimetes cucullatus	woody
Mimetes fimbriaefolia	woody
Mimetes fimbriifolius	not assigned
Mimetes hirtus	not assigned
Mimetes saxatilis	not assigned
Mimosa acantholoba	not assigned
Mimosa aculeaticarpa	not assigned
Mimosa acutistipula	not assigned
Mimosa adenocarpa	not assigned
Mimosa albida	not assigned
Mimosa annularis	not assigned
Mimosa artemisiana	not assigned
Mimosa bahamensis	woody
Mimosa bimucronata	woody
Mimosa biuncifera	not assigned
Mimosa blanchetii	not assigned
Mimosa bracaatinga	not assigned
Mimosa busseana	woody
Mimosa camporum	not assigned
Mimosa chaetocarpa	not assigned
Mimosa claussenii	woody
Mimosa debilis	not assigned
Mimosa delicatula	not assigned
Mimosa distachya	not assigned
Mimosa dysocarpa	not assigned
Mimosa elata	not assigned
Mimosa foetida	not assigned
Mimosa fragrans	not assigned
Mimosa glutinosa	not assigned
Mimosa grandidieri	not assigned
Mimosa guilandinae	not assigned
Mimosa hexandra	not assigned
Mimosa himalayana	not assigned
Mimosa hirsutissima	not assigned
Mimosa ikondensis	not assigned
Mimosa intsia	not assigned
Mimosa invisa	woody
Mimosa lacerata	not assigned
Mimosa lanuginosa	woody
Mimosa latidens	not assigned
Mimosa latispinosa	not assigned
Mimosa luisana	not assigned
Mimosa menabeensis	not assigned
Mimosa monancistra	not assigned
Mimosa mossambicensis	not assigned
Mimosa myriocephala	not assigned
Mimosa obovata	not assigned
Mimosa onilahensis	not assigned
Mimosa ophthalmocentra	not assigned
Mimosa orthocarpa	not assigned
Mimosa palmeri	not assigned
Mimosa parvipinna	woody
Mimosa pellita	not assigned
Mimosa pigra	woody
Mimosa polyantha	not assigned
Mimosa polycarpa	not assigned
Mimosa polydactyla	not assigned
Mimosa pudica	conflicting (herbaceous vs. woody)
Mimosa purpusii	not assigned
Mimosa quadrivalvis	not assigned
Mimosa scabrella	not assigned
Mimosa sensitiva	not assigned
Mimosa somnians	not assigned
Mimosa tenuiflora	woody
Mimosa umbellata	not assigned
Mimosa uraguensis	not assigned
Mimosa verrucosa	not assigned
Mimozyganthus carinatus	woody
Mimulus alatus	herbaceous
Mimulus alsinoides	herbaceous
Mimulus aurantiacus	herbaceous
Mimulus bifidus	herbaceous
Mimulus brevipes	herbaceous
Mimulus breweri	herbaceous
Mimulus cardinalis	herbaceous
Mimulus clevelandi	herbaceous
Mimulus cusickii	herbaceous
Mimulus dentatus	herbaceous
Mimulus douglasii	herbaceous
Mimulus eastwoodiae	not assigned
Mimulus filicaulis	herbaceous
Mimulus floribundus	herbaceous
Mimulus glabratus	herbaceous
Mimulus gracilis	herbaceous
Mimulus guttatus	herbaceous
Mimulus leptaleus	herbaceous
Mimulus lewisii	herbaceous
Mimulus longiflorus	herbaceous
Mimulus luteus	herbaceous
Mimulus mephiticus	herbaceous
Mimulus moschatus	herbaceous
Mimulus naiandinus	herbaceous
Mimulus nanus	herbaceous
Mimulus nudatus	herbaceous
Mimulus pilosus	herbaceous
Mimulus primuloides	herbaceous
Mimulus puniceus	herbaceous
Mimulus repens	herbaceous
Mimulus ringens	herbaceous
Mimulus suksdorfii	herbaceous
Mimusops aedificatoria	woody
Mimusops affinis	not assigned
Mimusops bagshawei	not assigned
Mimusops balata	not assigned
Mimusops caffra	woody
Mimusops calophylloides	not assigned
Mimusops commersonii	not assigned
Mimusops comorensis	not assigned
Mimusops ebolowensis	not assigned
Mimusops elengi	woody
Mimusops globosa	not assigned
Mimusops hexandra	woody
Mimusops kummel	woody
Mimusops maxima	not assigned
Mimusops obovata	woody
Mimusops obtusifolia	woody
Mimusops parvifolia	not assigned
Mimusops petiolaris	not assigned
Mimusops riparia	not assigned
Mimusops sansibarensis	not assigned
Mimusops schliebenii	not assigned
Mimusops sechellarum	not assigned
Mimusops voalela	not assigned
Mimusops zeyheri	woody
Mina lobata	herbaceous
Minquartia guianensis	woody
Minuartia acuminata	herbaceous
Minuartia aizoides	herbaceous
Minuartia alpina	herbaceous
Minuartia arctica	not assigned
Minuartia attica	not assigned
Minuartia austriaca	herbaceous
Minuartia biflora	not assigned
Minuartia cherlerioides	herbaceous
Minuartia circassica	herbaceous
Minuartia formosa	not assigned
Minuartia gerardii	not assigned
Minuartia glomerata	not assigned
Minuartia hybrida	herbaceous
Minuartia inamoena	not assigned
Minuartia innominata	not assigned
Minuartia juniperina	not assigned
Minuartia laricifolia	not assigned
Minuartia laricifolis	not assigned
Minuartia lineata	herbaceous
Minuartia meyeri	herbaceous
Minuartia oreina	not assigned
Minuartia picta	not assigned
Minuartia recurva	herbaceous
Minuartia rubella	herbaceous
Minuartia rubra	woody
Minuartia rupestris	herbaceous
Minuartia sedoides	herbaceous
Minuartia setacea	herbaceous
Minuartia stricta	herbaceous
Minuartia tenella	not assigned
Minuartia verna	herbaceous
Minuartia viscosa	herbaceous
Minuartia wiesneri	not assigned
Minuria denticulata	herbaceous
Minuria integerrima	not assigned
Minuria leptophylla	not assigned
Minuria macrorhiza	herbaceous
Miquelia celebica	not assigned
Miqueliopuntia miquelii	not assigned
Mirabilis bigelovii	not assigned
Mirabilis californica	not assigned
Mirabilis decipiens	herbaceous
Mirabilis elegans	not assigned
Mirabilis glabrifolia	not assigned
Mirabilis greenei	not assigned
Mirabilis hirsuta	herbaceous
Mirabilis jalapa	herbaceous
Mirabilis linearis	not assigned
Mirabilis longiflora	not assigned
Mirabilis multiflora	conflicting (herbaceous vs. woody)
Mirabilis nyctaginea	herbaceous
Mirabilis pudica	not assigned
Mirbelia confertiflora	not assigned
Mirbelia dilatata	not assigned
Mirbelia microphylla	not assigned
Mirbelia oxylobioides	not assigned
Mirbelia platylobioides	not assigned
Mirbelia pungens	not assigned
Mirbelia ramulosa	not assigned
Mirbelia reticulata	not assigned
Mirbelia rubiaefolia	not assigned
Mirbelia rubiifolia	not assigned
Mirbelia speciosa	woody
Miscanthus chinensis	herbaceous
Miscanthus condensatus	herbaceous
Miscanthus floridulus	herbaceous
Miscanthus japonicus	herbaceous
Miscanthus junceus	herbaceous
Miscanthus nepalensis	herbaceous
Miscanthus sacchariflorus	herbaceous
Miscanthus sinensis	herbaceous
Miscanthus sorghum	herbaceous
Miscanthus violaceus	herbaceous
Mischarytera lautereriana	not assigned
Mischocarpus anodontus	not assigned
Mischocarpus exangulatus	not assigned
Mischocarpus fuscescens	not assigned
Mischocarpus lachnocarpus	not assigned
Mischocarpus oppositifolius	not assigned
Mischocarpus papuanus	not assigned
Mischocarpus pentapetalus	not assigned
Mischocarpus pyriformis	not assigned
Mischocarpus stipitatus	not assigned
Mischocarpus sundaicus	not assigned
Misodendrum linearifolium	not assigned
Misopates calycinum	not assigned
Misopates orontium	herbaceous
Mitchella repens	conflicting (herbaceous vs. woody)
Mitella breweri	herbaceous
Mitella diphylla	herbaceous
Mitella nuda	herbaceous
Mitella pentandra	herbaceous
Mitella stauropetala	herbaceous
Mitella trifida	herbaceous
Mitracarpus cuspidatus	not assigned
Mitracarpus hirtus	herbaceous
Mitracarpus lhotzkyanus	herbaceous
Mitracarpus megapotamicus	herbaceous
Mitracarpus scaberulus	not assigned
Mitracarpus villosus	not assigned
Mitragyna ciliata	woody
Mitragyna diversifolia	woody
Mitragyna inermis	woody
Mitragyna parvifolia	woody
Mitragyna rotundifolia	woody
Mitragyna rubrostipulacea	woody
Mitragyna rubrostipulata	not assigned
Mitragyna speciosa	woody
Mitraria coccinea	not assigned
Mitrasacme connata	not assigned
Mitrasacme exserta	not assigned
Mitrasacme oasena	not assigned
Mitrasacme paludosa	not assigned
Mitrasacme paradoxa	not assigned
Mitrasacme polymorpha	herbaceous
Mitrasacmopsis quadrivalvis	herbaceous
Mitreola petiolata	not assigned
Mitreola sessilifolia	herbaceous
Mitrephora ferruginea	not assigned
Mitrephora maingayi	not assigned
Mitrephora obtusa	not assigned
Mitrephora polypyrena	not assigned
Mitrephora reticulata	not assigned
Mitrephora rugosa	not assigned
Mitrephora thorelii	not assigned
Mitrophyllum clivorum	woody
Mkilua fragrans	not assigned
Mnesithea formosa	herbaceous
Mnesithea rottboellioides	herbaceous
Modiola caroliniana	herbaceous
Modiola multifida	not assigned
Moehringia bavarica	not assigned
Moehringia ciliata	herbaceous
Moehringia dielsiana	not assigned
Moehringia lateriflora	not assigned
Moehringia muscosa	herbaceous
Moehringia trinervia	herbaceous
Moenchia erecta	herbaceous
Moenchia mantica	not assigned
Mohria caffrorum	(fern)
Mohria lepigera	(fern)
Moldavica parviflora	not assigned
Moldenhawera floribunda	not assigned
Molinadendron hondurense	not assigned
Molinaea alternifolia	not assigned
Molinaea retusa	not assigned
Molinaea tolambitou	not assigned
Molineria capitulata	herbaceous
Molineria latifolia	herbaceous
Molineriella laevis	herbaceous
Molineriella minuta	herbaceous
Molinia arundinacea	herbaceous
Molinia caerulea	herbaceous
Molinia coerulea	herbaceous
Molinia hungarica	herbaceous
Mollia gracilis	woody
Mollia lepidota	woody
Mollia speciosa	woody
Mollia sphaerocarpa	not assigned
Mollinedia beckii	woody
Mollinedia caloneura	woody
Mollinedia costaricensis	not assigned
Mollinedia darienensis	woody
Mollinedia elegans	woody
Mollinedia killipii	woody
Mollinedia lanceolata	woody
Mollinedia latifolia	woody
Mollinedia ovata	woody
Mollinedia pinchotiana	woody
Mollinedia racemosa	woody
Mollinedia rojimpreso	not assigned
Mollinedia schottiana	woody
Mollinedia spinilarga	not assigned
Mollinedia tomentosa	not assigned
Mollinedia tridentata	not assigned
Mollinedia uleana	woody
Mollinedia viridiflora	woody
Mollugo cerviana	herbaceous
Mollugo decandra	not assigned
Mollugo molluginis	not assigned
Mollugo nudicaulis	herbaceous
Mollugo oppositifolia	not assigned
Mollugo pentaphylla	not assigned
Mollugo stricta	not assigned
Mollugo verticillata	herbaceous
Molopospermum peloponnesiacum	not assigned
Moltkia coerulea	conflicting (herbaceous vs. woody)
Moltkia doerfleri	not assigned
Moltkia petraea	not assigned
Moltkia suffruticosa	not assigned
Moluccella laevis	herbaceous
Moluccella spinosa	not assigned
Momordica anigosantha	herbaceous
Momordica balsamina	herbaceous
Momordica boivinii	herbaceous
Momordica calantha	herbaceous
Momordica cardiospermoides	herbaceous
Momordica charantia	herbaceous
Momordica corymbifera	herbaceous
Momordica foetida	herbaceous
Momordica friesiorum	herbaceous
Momordica henriquesii	herbaceous
Momordica humilis	not assigned
Momordica kirkii	herbaceous
Momordica pterocarpa	herbaceous
Momordica repens	herbaceous
Momordica trifoliolata	herbaceous
Momordica welwitschii	not assigned
Monachather paradoxa	herbaceous
Monachather paradoxus	herbaceous
Monadenia brevicornis	herbaceous
Monadenium capitatum	herbaceous
Monadenium crenatum	herbaceous
Monadenium discoideum	herbaceous
Monadenium filiforme	herbaceous
Monadenium friesii	herbaceous
Monadenium fwambense	herbaceous
Monadenium herbaceum	herbaceous
Monadenium hirsutum	herbaceous
Monadenium laeve	herbaceous
Monadenium lugardae	herbaceous
Monadenium mafingensis	conflicting (herbaceous vs. woody)
Monadenium nervosum	herbaceous
Monadenium orobanchoides	herbaceous
Monadenium parviflorum	herbaceous
Monadenium pedunculatum	herbaceous
Monadenium pseudoracemosum	herbaceous
Monadenium pudibundum	herbaceous
Monadenium rugosum	herbaceous
Monadenium spinulosum	herbaceous
Monadenium torrei	woody
Monanthochloe acerosa	herbaceous
Monanthochloe littoralis	herbaceous
Monanthotaxis buchananii	not assigned
Monanthotaxis caffra	not assigned
Monanthotaxis fornicata	not assigned
Monanthotaxis micrantha	not assigned
Monanthotaxis parvifolia	not assigned
Monantochloe acerosa	not assigned
Monarda austromontana	not assigned
Monarda citriodora	not assigned
Monarda didyma	not assigned
Monarda fistulosa	herbaceous
Monarda punctata	herbaceous
Monardella douglasii	not assigned
Monardella glauca	not assigned
Monardella hypoleuca	not assigned
Monardella lanceolata	not assigned
Monardella odoratissima	not assigned
Monardella purpurea	not assigned
Monardella undulata	not assigned
Monardella villosa	not assigned
Mondia whiteii	herbaceous
Monechma arenicola	herbaceous
Monechma ciliatum	herbaceous
Monechma debile	herbaceous
Monechma depauperatum	herbaceous
Monechma desertorum	herbaceous
Monechma genistifolium	herbaceous
Monechma mollissimum	herbaceous
Monechma monechmoides	herbaceous
Monechma ndellense	herbaceous
Monechma serotinum	herbaceous
Monelytrum luederitzianum	herbaceous
Moneses uniflora	herbaceous
Monilaria pisiformis	woody
Monimia rotundifolia	woody
Monnina crepinii	woody
Monnina wrightii	not assigned
Monocarpia euneura	woody
Monocarpia marginalis	woody
Monochoria africana	herbaceous
Monochoria hastata	herbaceous
Monochoria korsakowii	herbaceous
Monochoria vaginalis	not assigned
Monococcus echinophorus	not assigned
Monocymbium ceresiiforme	herbaceous
Monodora angolensis	woody
Monodora grandidieri	woody
Monodora junodii	woody
Monodora myristica	not assigned
Monodora stenopetala	woody
Monodora tenuifolia	not assigned
Monolepis nuttalliana	herbaceous
Monolepis pusilla	not assigned
Monolopia lanceolata	herbaceous
Monolopia major	herbaceous
Monopetalanthus coriaceus	not assigned
Monopetalanthus durandii	not assigned
Monopetalanthus heitzii	not assigned
Monopetalanthus letestui	not assigned
Monopetalanthus pellegrini	not assigned
Monopsis debilis	not assigned
Monopsis decipiens	herbaceous
Monopsis lutea	herbaceous
Monopsis scabra	not assigned
Monopsis stellarioides	herbaceous
Monopsis zeyheri	herbaceous
Monopteryx uauca	not assigned
Monopteryx uaucu	not assigned
Monoptilon bellioides	herbaceous
Monotagma laxum	herbaceous
Monotagma plurispicatum	not assigned
Monotaxis linifolia	not assigned
Monotes adenophyllus	woody
Monotes africana	woody
Monotes africanus	woody
Monotes angolensis	woody
Monotes autennei	woody
Monotes dasyanthus	woody
Monotes discolor	woody
Monotes elegans	woody
Monotes engleri	woody
Monotes glaber	woody
Monotes katangensis	woody
Monotes kerstingii	woody
Monotes magnificus	woody
Monotes redheadii	woody
Monotoca billawinica	woody
Monotoca elliptica	woody
Monotoca empetrifolia	woody
Monotoca glauca	not assigned
Monotoca rotundifolia	not assigned
Monotoca scoparia	woody
Monotoca tamariscina	not assigned
Monotropa hypophegea	herbaceous
Monotropa hypopitys	herbaceous
Monotropa uniflora	herbaceous
Monroa squarrosa	herbaceous
Monsonia angustifolia	herbaceous
Monsonia biflora	conflicting (herbaceous vs. woody)
Monsonia nivea	not assigned
Monsonia ovata	herbaceous
Monsonia senegalensis	herbaceous
Monstera adansonii	herbaceous
Monstera deliciosa	woody
Monstera dilacerata	herbaceous
Monstera dubia	not assigned
Monstera milleriana	not assigned
Monstera spruceana	not assigned
Monstera tenuis	not assigned
Monstera tuberculata	not assigned
Montanoa andersonii	not assigned
Montanoa arborescens	woody
Montanoa bipinnatifida	not assigned
Montanoa hibiscifolia	not assigned
Montanoa karvinskii	not assigned
Montanoa leucantha	not assigned
Montanoa mollissima	not assigned
Montanoa tomentosa	not assigned
Montezuma speciosissima	woody
Montia chamissoi	herbaceous
Montia fontana	herbaceous
Montia lamprosperma	herbaceous
Montia perfoliata	herbaceous
Montinia caryophyllacea	woody
Montiopsis sericea	not assigned
Montiopsis trifida	not assigned
Montiopsis umbellata	not assigned
Montrouziera sphaeroidea	not assigned
Monttea aphylla	not assigned
Monttea chilensis	not assigned
Monttea schickendantzii	not assigned
Moquinia polymorpha	woody
Mora excelsa	woody
Mora gonggrijpii	woody
Mora megistosperma	not assigned
Mora paraensis	not assigned
Moraea aristata	herbaceous
Moraea bella	herbaceous
Moraea bellendenii	herbaceous
Moraea brevifolia	herbaceous
Moraea carsonii	herbaceous
Moraea clavata	herbaceous
Moraea collina	herbaceous
Moraea elliotii	herbaceous
Moraea flaccida	herbaceous
Moraea fugax	herbaceous
Moraea gawleri	herbaceous
Moraea gigandra	herbaceous
Moraea graniticola	herbaceous
Moraea incurva	herbaceous
Moraea insolens	herbaceous
Moraea inyangani	herbaceous
Moraea iridioides	not assigned
Moraea loubseri	herbaceous
Moraea macrantha	herbaceous
Moraea miniata	herbaceous
Moraea moggii	herbaceous
Moraea muddii	herbaceous
Moraea natalensis	herbaceous
Moraea neglecta	herbaceous
Moraea neopavonia	herbaceous
Moraea ochroleuca	herbaceous
Moraea papilionacea	herbaceous
Moraea polystachya	herbaceous
Moraea ramosissima	herbaceous
Moraea schimperi	herbaceous
Moraea schlechteri	herbaceous
Moraea sisyrinchium	herbaceous
Moraea spathulata	herbaceous
Moraea stricta	herbaceous
Moraea tanzanica	herbaceous
Moraea textilis	herbaceous
Moraea thomsonii	herbaceous
Moraea tricuspidata	herbaceous
Moraea tulbaghensis	herbaceous
Moraea vegeta	herbaceous
Moraea ventricosa	herbaceous
Moraea verdickii	herbaceous
Morelia senegalensis	not assigned
Morella cacuminis	not assigned
Morella californica	woody
Morella caroliniensis	woody
Morella cerifera	woody
Morella cordifolia	not assigned
Morella costaricensis	not assigned
Morella esculenta	not assigned
Morella inodora	woody
Morella nagi	not assigned
Morella pensylvanica	woody
Morella pilulifera	not assigned
Morella pubescens	woody
Morella rubra	not assigned
Morella serrata	not assigned
Morella spathulata	not assigned
Morettia canescens	not assigned
Morettia parviflora	not assigned
Morettia philaeana	not assigned
Morgania floribunda	herbaceous
Moricandia arvensis	herbaceous
Moricandia foetida	not assigned
Moricandia foleyi	not assigned
Moricandia moricandioides	not assigned
Moricandia nitens	not assigned
Moricandia sinaica	not assigned
Moricandia spinosa	not assigned
Moricandia suffruticosa	not assigned
Morina chinensis	not assigned
Morina persica	not assigned
Morinda angolensis	conflicting (herbaceous vs. woody)
Morinda angustifolia	not assigned
Morinda asteroscepa	woody
Morinda brachycalyx	not assigned
Morinda citrifolia	woody
Morinda debilis	not assigned
Morinda elliptica	not assigned
Morinda forsteri	not assigned
Morinda geminata	not assigned
Morinda jasminoides	woody
Morinda lucida	woody
Morinda morindoides	not assigned
Morinda myrtifolia	not assigned
Morinda panamensis	not assigned
Morinda reticulata	not assigned
Morinda ridleyi	not assigned
Morinda tinctoria	not assigned
Morinda umbellata	not assigned
Moringa drouhardii	not assigned
Moringa oleifera	woody
Moringa ovalifolia	not assigned
Moringa peregrina	not assigned
Moringa pterygosperma	woody
Moringa stenopetala	not assigned
Morisia monanthos	not assigned
Morisonia americana	woody
Morisonia oblongifolia	not assigned
