Species	PFT
Acacia glandulicarpa	(tree)
Acacia glaucissima	(shrub)
Acacia glaucocarpa	(tree)
Acacia gnidium	(tree)
Acacia gonocarpa	(shrub/tree)
Acacia gonoclada	(shrub)
Acacia gordonii	(tree)
Acacia gracilifolia	(shrub)
Acacia granitica	(tree)
Acacia grasbyi	(tree)
Acacia grisea	(shrub)
Acacia gunnii	(tree)
Acacia hakeoides	(shrub)
Acacia hamersleyensis	(shrub/tree)
Acacia hamiltoniana	(shrub)
Acacia hammondii	(shrub)
Acacia harpophylla	(tree)
Acacia harveyi	(shrub)
Acacia havilandiorum	(shrub/tree)
Acacia hemignosta	(tree)
Acacia hemiteles	(tree)
Acacia hemsleyi	(tree)
Acacia heterochroa	(shrub)
Acacia heteroclita	(tree)
Acacia heterophylla	(legume?)
Acacia hilliana	(shrub)
Acacia hispidula	(tree)
Acacia holosericea	(shrub/tree)
Acacia homalophylla	(tree)
Acacia howittii	(tree)
Acacia hubbardiana	(shrub)
Acacia huegelii	(shrub/tree)
Acacia humifusa	(tree)
Acacia hyaloneura	(shrub/tree)
Acacia imbricata	(shrub)
Acacia implexa	(shrub/tree)
Acacia inaequilatera	(tree)
Acacia incanicarpa	(shrub)
Acacia inceana	(shrub)
Acacia ingramii	(shrub/tree)
Acacia inophloia	(tree)
Acacia insolita	(tree)
Acacia irrorata	(shrub/tree)
Acacia iteaphylla	(tree)
Acacia ixiophylla	(tree)
Acacia jennerae	(tree)
Acacia jonesii	(shrub)
Acacia jucunda	(shrub)
Acacia julifera	(shrub/tree)
Acacia juncifolia	(tree)
Acacia kempeana	(shrub/tree)
Acacia kettlewelliae	(tree)
Acacia koa	(tree)
Acacia kybeanensis	(shrub)
Acacia kydrensis	(shrub)
Acacia laccata	(tree)
Acacia lachnophylla	(shrub)
Acacia lamprocarpa	(tree)
Acacia lanigera	(tree)
Acacia lasiocalyx	(tree)
Acacia lasiocarpa	(shrub)
Acacia lateriticola	(tree)
Acacia latescens	(tree)
Acacia latipes	(shrub)
Acacia latisepala	(tree)
Acacia latzii	(tree)
Acacia legnota	(tree)
Acacia leiocalyx	(tree)
Acacia leiophylla	(tree)
Acacia leprosa	(tree)
Acacia leptocarpa	(tree)
Acacia leptoclada	(tree)
Acacia leptopetala	(shrub)
Acacia leptospermoides	(shrub)
Acacia leptostachya	(shrub/tree)
Acacia leucoclada	(tree)
Acacia leucolobia	(shrub)
Acacia ligulata	(shrub/tree)
Acacia ligustrina	(shrub/tree)
Acacia linearifolia	(shrub/tree)
Acacia lineata	(shrub)
Acacia lineolata	(tree)
Acacia linifolia	(shrub)
Acacia lirellata	(tree)
Acacia loderi	(tree)
Acacia longifolia	(shrub/tree)
Acacia longispicata	(tree)
Acacia longispinea	(tree)
Acacia longissima	(shrub)
Acacia lucasii	(shrub)
Acacia lunata	(tree)
Acacia lysiphloia	(tree)
Acacia mabellae	(tree)
Acacia macnuttiana	(tree)
Acacia maconochieana	(tree)
Acacia macradenia	(tree)
Acacia maidenii	(tree)
Acacia maitlandii	(tree)
Acacia mangium	(tree)
Acacia matthewii	(shrub/tree)
Acacia mearnsii	(tree)
Acacia megacephala	(tree)
Acacia meiantha	(tree)
Acacia meisneri	(tree)
Acacia melanoxylon	(tree)
Acacia melleodora	(shrub)
Acacia melvillei	(tree)
Acacia menzelii	(shrub)
Acacia merrallii	(tree)
Acacia merrickiae	(shrub)
Acacia microbotrya	(tree)
Acacia microcarpa	(tree)
Acacia mimula	(tree)
Acacia minutifolia	(shrub)
Acacia mitchellii	(tree)
Acacia mollifolia	(tree)
Acacia mollis	(tree)
Acacia montana	(tree)
Acacia monticola	(tree)
Acacia mountfordiae	(shrub)
Acacia mucronata	(tree)
Acacia muelleriana	(shrub/tree)
Acacia multisiliqua	(shrub/tree)
Acacia multispicata	(tree)
Acacia murrayana	(tree)
Acacia mutabilis	(shrub)
Acacia myrtifolia	(shrub)
Acacia nanodealbata	(shrub/tree)
Acacia nematophylla	(shrub)
Acacia neriifolia	(shrub/tree)
Acacia nervosa	(tree)
Acacia neurocarpa	(shrub/tree)
Acacia neurophylla	(tree)
Acacia nigripilosa	(shrub)
Acacia nodiflora	(tree)
Acacia notabilis	(tree)
Acacia obliquinervia	(tree)
Acacia obtusata	(tree)
Acacia obtusifolia	(tree)
Acacia olgana	(tree)
Acacia olsenii	(shrub/tree)
Acacia oncinocarpa	(shrub/tree)
Acacia ophiolithica	(tree)
Acacia oraria	(tree)
Acacia orites	(tree)
Acacia oshanesii	(tree)
Acacia oswaldii	(shrub/tree)
Acacia oxycedrus	(shrub)
Acacia pachycarpa	(tree)
Acacia papulosa	(shrub)
Acacia papyrocarpa	(tree)
Acacia paradoxa	(shrub/tree)
Acacia parramattensis	(tree)
Acacia parvipinnula	(tree)
Acacia pedina	(shrub/tree)
Acacia pellita	(tree)
Acacia pendula	(tree)
Acacia penninervis	(tree)
Acacia pentadenia	(tree)
Acacia peuce	(tree)
Acacia phaeocalyx	(tree)
Acacia phasmoides	(tree)
Acacia phlebocarpa	(shrub)
Acacia piligera	(shrub)
Acacia pilligaensis	(tree)
Acacia pinguiculosa	(shrub)
Acacia pinguifolia	(shrub)
Acacia platycarpa	(tree)
Acacia plectocarpa	(tree)
Acacia plicata	(tree)
Acacia podalyriaefolia	(tree)
Acacia podalyriifolia	(shrub/tree)
Acacia polybotrya	(tree)
Acacia polystachya	(tree)
Acacia prainii	(shrub/tree)
Acacia pravifolia	(shrub)
Acacia pravissima	(tree)
Acacia prominens	(tree)
Acacia provincialis	(shrub/tree)
Acacia pruinocarpa	(tree)
Acacia pruinosa	(tree)
Acacia ptychoclada	(shrub)
Acacia pubescens	(tree)
Acacia pubifolia	(tree)
Acacia pulchella	(shrub)
Acacia pusilla	(shrub)
Acacia pustula	(tree)
Acacia pycnantha	(tree)
Acacia pycnostachya	(tree)
Acacia pyrifolia	(tree)
Acacia quadrilateralis	(tree)
Acacia quadrimarginea	(tree)
Acacia quornensis	(tree)
Acacia racospermoides	(shrub/tree)
Acacia ramulosa	(shrub/tree)
Acacia repanda	(tree)
Acacia resinimarginea	(tree)
Acacia retinodes	(tree)
Acacia retivenea	(shrub)
Acacia rhetinocarpa	(shrub)
Acacia rhigiophylla	(shrub)
Acacia rhodophloia	(shrub/tree)
Acacia rhodoxylon	(tree)
Acacia riceana	(tree)
Acacia richii	(tree)
Acacia rigens	(shrub)
Acacia rossei	(tree)
Acacia rostellifera	(tree)
Acacia rothii	(tree)
Acacia rubida	(tree)
Acacia rupicola	(shrub)
Acacia ruppii	(shrub)
Acacia saliciformis	(tree)
Acacia salicina	(tree)
Acacia saligna	(shrub/tree)
Acacia schinoides	(tree)
Acacia scirpifolia	(shrub/tree)
Acacia sclerophylla	(tree)
Acacia sclerosperma	(tree)
Acacia semirigida	(tree)
Acacia sertiformis	(tree)
Acacia shirleyi	(tree)
Acacia sibilans	(tree)
Acacia sibirica	(shrub/tree)
Acacia siculiformis	(tree)
Acacia silvestris	(tree)
Acacia simmonsiana	(shrub)
Acacia simsii	(tree)
Acacia species	not assigned
Acacia spectabilis	(tree)
Acacia spilleriana	(shrub)
Acacia spinescens	(shrub)
Acacia splendens	(shrub)
Acacia spondylophylla	(shrub)
Acacia spooneri	(shrub)
Acacia sporadica	(shrub)
Acacia squamata	(shrub)
Acacia startii	(shrub)
Acacia steedmanii	(shrub/tree)
Acacia stellaticeps	(shrub)
Acacia stenophylla	(tree)
Acacia stereophylla	(tree)
Acacia stipuligera	(tree)
Acacia stricta	(shrub/tree)
Acacia strongylophylla	(shrub)
Acacia suaveolens	(shrub)
Acacia subcaerulea	(shrub)
Acacia subporosa	(tree)
Acacia subracemosa	(shrub)
Acacia subtessarogona	(tree)
Acacia subtilinervis	(shrub)
Acacia subulata	(tree)
Acacia sulcata	(tree)
Acacia telmica	(tree)
Acacia tenuissima	(shrub)
Acacia terminalis	(shrub/tree)
Acacia tetragonophylla	(shrub)
Acacia tetraneura	(shrub)
Acacia toondulya	(tree)
Acacia torringtonensis	(tree)
Acacia torulosa	(tree)
Acacia trachycarpa	(tree)
Acacia trachyphloia	(tree)
Acacia trapezoidea	(shrub)
Acacia tratmaniana	(shrub)
Acacia trinervata	(tree)
Acacia trineura	(shrub)
Acacia triptera	(shrub)
Acacia triquetra	(shrub)
Acacia tropica	(shrub/tree)
Acacia truncata	(shrub)
Acacia tumida	(tree)
Acacia ulicifolia	(shrub/tree)
Acacia ulicina	(tree)
Acacia umbellata	(shrub/tree)
Acacia uncinata	(shrub)
Acacia undosa	(shrub)
Acacia undulifolia	(tree)
Acacia urophylla	(tree)
Acacia venulosa	(tree)
Acacia verniciflua	(shrub/tree)
Acacia veronica	(tree)
Acacia verticillata	(shrub/tree)
Acacia vestita	(tree)
Acacia victoriae	(shrub)
Acacia viscidula	(tree)
Acacia vittata	(tree)
Acacia wattsiana	(tree)
Acacia whibleyana	(tree)
Acacia wilhelmiana	(shrub)
Acacia williamsiana	(tree)
Acacia xiphophylla	(tree)
Acacia yorkrakinensis	(tree)
Acaciella angustissima	(shrub/tree)
Acaciella glauca	(legume?)
Acaena agnipila	forb
Acaena alpina	(shrub)
Acaena anserinifolia	forb
Acaena antarctica	forb
Acaena argentea	forb
Acaena caesiiglauca	forb
Acaena confertissima	not assigned
Acaena echinata	forb
Acaena fissistipula	forb
Acaena integerrima	forb
Acaena leptacantha	forb
Acaena lucida	forb
Acaena macrocephala	not assigned
Acaena magellanica	forb
Acaena novae-zelandiae	forb
Acaena ovalifolia	forb
Acaena ovina	forb
Acaena pallida	forb
Acaena pinnatifida	forb
Acaena platyacantha	not assigned
Acaena poeppigiana	not assigned
Acaena sericea	forb
Acaena species	not assigned
Acaena splendens	forb
Acaena subnitens	not assigned
Acaena tehuelcha	not assigned
Acaena tenera	forb
Acaena trifida	not assigned
Acalypha acrogyna	(shrub)
Acalypha allenii	forb
Acalypha ambigua	forb
Acalypha argentii	not assigned
Acalypha arvensis	forb
Acalypha australis	forb
Acalypha bipartita	(shrub)
Acalypha brachystachya	forb
Acalypha caperonioides	forb
Acalypha caturus	(tree)
Acalypha chirindica	(shrub/tree)
Acalypha ciliata	forb
Acalypha cincta	(shrub)
Acalypha claoxyloides	(shrub)
Acalypha clutioides	(shrub/tree)
Acalypha communis	forb
Acalypha crenata	conflicting (forb vs. shrub)
Acalypha cuneata	not assigned
Acalypha decaryana	not assigned
Acalypha dikuluwensis	(shrub/tree)
Acalypha diversifolia	(shrub)
Acalypha filipes	forb
Acalypha fimbriata	forb
Acalypha fruticosa	(shrub)
Acalypha fuscescens	forb
Acalypha glabrata	(shrub/tree)
Acalypha grandis	(shrub/tree)
Acalypha havanensis	forb
Acalypha hispida	(shrub)
Acalypha indica	forb
Acalypha lanceolata	conflicting (forb vs. shrub)
Acalypha langiana	forb
Acalypha lepinei	(shrub)
Acalypha macrostachya	(tree)
Acalypha nemorum	(shrub)
Acalypha neptunica	(shrub/tree)
Acalypha nyasica	forb
Acalypha ornata	(shrub)
Acalypha ostryifolia	forb
Acalypha paucifolia	forb
Acalypha peduncularis	forb
Acalypha petiolaris	forb
Acalypha phleoides	forb
Acalypha polymorpha	forb
Acalypha psilostachya	conflicting (forb vs. shrub)
Acalypha pubiflora	(shrub)
Acalypha racemosa	conflicting (forb vs. shrub)
Acalypha rhomboidea	forb
Acalypha segetalis	forb
Acalypha skutchii	(shrub/tree)
Acalypha sonderiana	(shrub)
Acalypha species	not assigned
Acalypha spiciflora	(tree)
Acalypha stachyura	(tree)
Acalypha stricta	(tree)
Acalypha virginica	forb
Acalypha welwitschiana	conflicting (forb vs. shrub)
Acalypha wilkesiana	(shrub)
Acampe pachyglossa	forb
Acampe praemorsa	forb
Acamptopappus shockleyi	conflicting (forb vs. shrub)
Acamptopappus sphaerocephalus	(shrub)
Acanthaceae species	not assigned
Acanthephippium sylhetense	forb
Acanthocalycium leucanthum	forb
Acanthocarpus preissii	forb
Acanthocereus cuixmalensis	not assigned
Acanthocereus rosei	not assigned
Acanthocereus tetragonus	(shrub)
Acanthocladus scleroxylon	(tree)
Acantholimon diapensioides	conflicting (forb vs. shrub)
Acantholippia seriphioides	(shrub)
Acanthopsis disperma	forb
Acanthosicyos horridus	(shrub)
Acanthospermum australe	forb
Acanthospermum hispidum	forb
Acanthostyles buniifolius	(shrub)
Acanthosyris annonagustata	(tree)
Acanthosyris falcata	(tree)
Acanthosyris glabrata	(tree)
Acanthus hirsutus	forb
Acanthus ilicifolius	conflicting (forb vs. shrub)
Acanthus mollis	conflicting (forb vs. shrub)
Acanthus pubescens	forb
Acanthus species	not assigned
Acanthus spinosus	forb
Acaulimalva acaulis	forb
Accolacuarina rigida	not assigned
Acer acuminatum	(tree)
Acer amplum	(tree)
Acer argutum	(tree)
Acer barbatum	(tree)
Acer barbinerve	(tree)
Acer buergerianum	(shrub/tree)
Acer caesium	(tree)
Acer campbellii	(tree)
Acer campestre	(tree)
Acer capillipes	(tree)
Acer cappadocicum	(tree)
Acer carpinifolium	(tree)
Acer caudatifolium	(tree)
Acer caudatum	(tree)
Acer circinatum	(shrub/tree)
Acer cissifolium	(tree)
Acer coriaceum	(tree)
Acer crataegifolium	(shrub)
Acer davidii	(shrub/tree)
Acer diabolicum	(tree)
Acer distylum	(tree)
Acer erianthum	(shrub)
Acer floridanum	(tree)
Acer glabrum	(shrub/tree)
Acer granatense	(tree)
Acer grandidentatum	(shrub/tree)
Acer griseum	(tree)
Acer heldreichii	(tree)
Acer henryi	(tree)
Acer hyrcanum	(tree)
Acer japonicum	(tree)
Acer laevigatum	(tree)
Acer laurinum	(tree)
Acer laxiflorum	(tree)
Acer leucoderme	(tree)
Acer lobelii	(tree)
Acer longipes	(tree)
Acer lucidum	(tree)
Acer macrophyllum	(tree)
Acer mandshuricum	(tree)
Acer maximowiczianum	(tree)
Acer micranthum	(tree)
Acer miyabei	(tree)
Acer monspessulanum	(tree)
Acer negundo	(tree)
Acer nigrum	(tree)
Acer nikoense	(tree)
Acer oblongum	(tree)
Acer obtusatum	(tree)
Acer obtusifolium	(tree)
Acer oliverianum	(shrub/tree)
Acer opalus	(tree)
Acer palmatum	(shrub/tree)
Acer pectinatum	(tree)
Acer pensylvanicum	(tree)
Acer pictum	(tree)
Acer platanoides	(tree)
Acer pseudoplatanus	(tree)
Acer pseudosieboldianum	(tree)
Acer rubrum	(tree)
Acer rufinerve	(tree)
Acer saccharinum	(tree)
Acer saccharum	(tree)
Acer sempervirens	(shrub/tree)
Acer senecaense	(tree)
Acer serrulatum	(tree)
Acer sieboldianum	(tree)
Acer sinense	(tree)
Acer skutchii	(tree)
Acer species	not assigned
Acer spicatum	(shrub/tree)
Acer stachyophyllum	(shrub/tree)
Acer sterculiaceum	(shrub/tree)
Acer tataricum	(shrub/tree)
Acer tegmentosum	(tree)
Acer triflorum	(tree)
Acer truncatum	(tree)
Acer tschonoskii	(shrub/tree)
Acer ukurunduense	(tree)
Acer velutinum	(tree)
Acer zoeschense	(tree)
Aceratium concinnum	(tree)
Aceratium doggrellii	(tree)
Aceratium megalospermum	(shrub/tree)
Aceratium sericeum	(tree)
Aceratium sericoleopsis	(tree)
Achatocarpus praecox	(tree)
Achillea aegyptiaca	forb
Achillea ageratifolia	forb
Achillea ageratum	forb
Achillea alpina	forb
Achillea arabica	forb
Achillea asiatica	forb
Achillea aspleniifolia	forb
Achillea atrata	forb
Achillea cartilaginea	forb
Achillea clavennae	forb
Achillea clusiana	forb
Achillea clypeolata	forb
Achillea coarctata	forb
Achillea collina	forb
Achillea crithmifolia	forb
Achillea distans	forb
Achillea erba-rotta	conflicting (forb vs. shrub)
Achillea falcata	forb
Achillea filipendulina	forb
Achillea fragrantissima	forb
Achillea leptophylla	forb
Achillea macrophylla	forb
Achillea maritima	forb
Achillea millefolium	forb
Achillea nana	forb
Achillea nobilis	forb
Achillea odorata	forb
Achillea pannonica	forb
Achillea pratensis	forb
Achillea ptarmica	forb
Achillea ptarmicoides	forb
Achillea roseoalba	forb
Achillea salicifolia	forb
Achillea santolina	forb
Achillea setacea	forb
Achillea sibirica	forb
Achillea species	not assigned
Achillea wilhelmsii	forb
Achimenes longiflora	forb
Achlys triphylla	forb
Achnatherum breviaristatum	grass
Achnatherum bromoides	grass
Achnatherum calamagrostis	grass
Achnatherum inebrians	grass
Achnatherum pekinense	grass
Achnatherum sibiricum	grass
Achnatherum species	grass
Achnatherum virescens	grass
Achnophora tatei	forb
Achyrachaena mollis	forb
Achyranthemum paniculatum	not assigned
Achyranthes aspera	conflicting (forb vs. shrub)
Achyranthes bidentata	conflicting (forb vs. shrub)
Achyranthes splendens	(shrub)
Achyrocline satureioides	forb
Achyropsis gracilis	forb
Achyropsis laniceps	forb
Achyropsis leptostachya	conflicting (forb vs. shrub)
Achyrospermum cryptanthum	conflicting (forb vs. shrub)
Achyrospermum laterale	forb
Achyrospermum schimperi	forb
Aciachne acicularis	grass
Aciachne flagellifera	grass
Aciachne pulvinata	grass
Acianthera verecunda	forb
Acianthus caudatus	forb
Acianthus exsertus	forb
Acianthus fornicatus	forb
Acianthus pusillus	forb
Acicarpha tribuloides	forb
Acidocroton lobulatus	forb
Acidosasa breviclavata	grass
Acidosasa brilletii	grass
Acidosasa chinensis	grass
Acidosasa edulis	grass
Acidosasa glauca	grass
Acidosasa guangxiensis	grass
Acidosasa lingchuanensis	grass
Acidosasa nanunica	grass
Acidosasa notata	grass
Acidosasa purpurea	grass
Acidosasa venusta	grass
Acioa edulis	(tree)
Acioa guianensis	(tree)
Acioa longipendula	(tree)
Aciphylla aurea	forb
Aciphylla glacialis	forb
Aciphylla glaucescens	forb
Aciphylla simplicifolia	forb
Aciphylla subflabellata	conflicting (forb vs. shrub)
Ackama australiensis	(tree)
Ackama brassii	(tree)
Ackama celebica	(tree)
Ackama paniculosa	(tree)
Ackama papuana	(tree)
Ackama rosifolia	(tree)
Acmanthera latifolia	(tree)
Acmella bellidioides	forb
Acmella species	not assigned
Acmella uliginosa	forb
Acmispon americanus	legume
