Species	Family
Luzula pallidula	Juncaceae
Luzula parviflora	Juncaceae
Luzula pilosa	Juncaceae
Luzula piperi	Juncaceae
Luzula pseudosudetica	Juncaceae
Luzula racemosa	Juncaceae
Luzula rufa	Juncaceae
Luzula spicata	Juncaceae
Luzula sudetica	Juncaceae
Luzula sylvatica	Juncaceae
Luzula wahlenbergii	Juncaceae
Luzuriaga polyphylla	Philesiaceae
Luzuriaga radicans	Philesiaceae
Lycaste skinneri	Orchidaceae
Lychnis alba	Caryophyllaceae
Lychnis alpina	Caryophyllaceae
Lychnis arkwrightii	Caryophyllaceae
Lychnis chalcedonica	Caryophyllaceae
Lychnis cognata	Caryophyllaceae
Lychnis coronaria	Caryophyllaceae
Lychnis diurna	Caryophyllaceae
Lychnis drummondii	Caryophyllaceae
Lychnis flos-cuculi	Caryophyllaceae
Lychnis flos-jovis	Caryophyllaceae
Lychnis fulgens	Caryophyllaceae
Lychnis viscaria	Caryophyllaceae
Lycianthes banahaensis	Solanaceae
Lycianthes cuneata	Solanaceae
Lycianthes heteroclita	Solanaceae
Lycianthes maxonii	Solanaceae
Lycianthes pauciflora	Solanaceae
Lycianthes pseudolycioides	Solanaceae
Lycianthes purpusii	Solanaceae
Lycianthes synanthera	Solanaceae
Lycium afrum	Solanaceae
Lycium ameghinoi	Solanaceae
Lycium amoenum	Solanaceae
Lycium andersonii	Solanaceae
Lycium arabicum	Solanaceae
Lycium australe	Solanaceae
Lycium barbarum	Solanaceae
Lycium berlandieri	Solanaceae
Lycium bosciifolium	Solanaceae
Lycium brevipes	Solanaceae
Lycium californicum	Solanaceae
Lycium capense	Solanaceae
Lycium carolinianum	Solanaceae
Lycium chilense	Solanaceae
Lycium chinense	Solanaceae
Lycium chinensis	Solanaceae
Lycium cinereum	Solanaceae
Lycium cooperi	Solanaceae
Lycium cuneatum	Solanaceae
Lycium decumbens	Solanaceae
Lycium depressum	Solanaceae
Lycium deserti	Solanaceae
Lycium elongatum	Solanaceae
Lycium europaeum	Solanaceae
Lycium exsertum	Solanaceae
Lycium ferocissimum	Solanaceae
Lycium halimifolium	Solanaceae
Lycium intricatum	Solanaceae
Lycium intrincatum	Solanaceae
Lycium mascarenense	Solanaceae
Lycium minimum	Solanaceae
Lycium namaquense	Solanaceae
Lycium nodosum	Solanaceae
Lycium oxycarpum	Solanaceae
Lycium pallidum	Solanaceae
Lycium richii	Solanaceae
Lycium ruthenicum	Solanaceae
Lycium sandwicense	Solanaceae
Lycium schizocalyx	Solanaceae
Lycium schweinfurthii	Solanaceae
Lycium shawii	Solanaceae
Lycium shockleyi	Solanaceae
Lycium tenuispinosum	Solanaceae
Lycium tetrandrum	Solanaceae
Lycium tweedianum	Solanaceae
Lycocarpus fugax	Brassicaceae
Lycopersicon chilense	Solanaceae
Lycopersicon chilensis	Solanaceae
Lycopersicon esculentum	Solanaceae
Lycopersicon pimpinellifolium	Solanaceae
Lycopersicum chilense	Solanaceae
Lycopodiella diffusa	Lycopodiaceae
Lycopodiella inundata	Lycopodiaceae
Lycopodiella lateralis	Lycopodiaceae
Lycopodium alpinum	Lycopodiaceae
Lycopodium annotinum	Lycopodiaceae
Lycopodium arboreum	Lycopodiaceae
Lycopodium australianum	Lycopodiaceae
Lycopodium carolinianum	Lycopodiaceae
Lycopodium casuarinoides	Lycopodiaceae
Lycopodium cernuum	Lycopodiaceae
Lycopodium clavatum	Lycopodiaceae
Lycopodium complanatum	Lycopodiaceae
Lycopodium dacrydioides	Lycopodiaceae
Lycopodium deuterodensum	Lycopodiaceae
Lycopodium fastigiatum	Lycopodiaceae
Lycopodium gnidioides	Lycopodiaceae
Lycopodium obscurum	Lycopodiaceae
Lycopodium ophioglossoides	Lycopodiaceae
Lycopodium phlegmaria	Lycopodiaceae
Lycopodium ramulosum	Lycopodiaceae
Lycopodium saururus	Lycopodiaceae
Lycopodium scariosum	Lycopodiaceae
Lycopodium serratum	Lycopodiaceae
Lycopodium varium	Lycopodiaceae
Lycopodium verticillatum	Lycopodiaceae
Lycopodium volubile	Lycopodiaceae
Lycopsis orientalis	Boraginaceae
Lycopus americanus	Lamiaceae
Lycopus asper	Lamiaceae
Lycopus australis	Lamiaceae
Lycopus europaeus	Lamiaceae
Lycopus exaltatus	Lamiaceae
Lycopus lucidus	Lamiaceae
Lycopus rubellus	Lamiaceae
Lycopus uniflorus	Lamiaceae
Lycopus virginicus	Lamiaceae
Lycoris radiata	Amaryllidaceae
Lycurus phleoides	Poaceae
Lycurus setosus	Poaceae
Lygeum spartum	Poaceae
Lyginia barbata	Restionaceae
Lygodesmia grandiflora	Asteraceae
Lygodesmia texana	Asteraceae
Lygodium circinatum	Schizaeaceae
Lygodium circinnatum	Schizaeaceae
Lygodium japonicum	Schizaeaceae
Lygodium kerstenii	Schizaeaceae
Lygodium microphyllum	Schizaeaceae
Lyonia compta	Ericaceae
Lyonia ferruginea	Ericaceae
Lyonia fruticosa	Ericaceae
Lyonia heptamera	Ericaceae
Lyonia jamaicensis	Ericaceae
Lyonia ligustrina	Ericaceae
Lyonia lucida	Ericaceae
Lyonia mariana	Ericaceae
Lyonia octandra	Ericaceae
Lyonia ovalifolia	Ericaceae
Lyonia squamulosa	Ericaceae
Lyonia villosa	Ericaceae
Lyonothamnus floribundus	Rosaceae
Lyperanthus suaveolens	Orchidaceae
Lyperia lychnidea	Scrophulariaceae
Lyperia tristis	Scrophulariaceae
Lysiana exocarpi	Loranthaceae
Lysiana murrayi	Loranthaceae
Lysicarpus angustifolius	Myrtaceae
Lysichiton americanus	Araceae
Lysidice rhodostegia	Fabaceae
Lysiloma acapulcense	Fabaceae
Lysiloma bahamensis	Fabaceae
Lysiloma divaricata	Fabaceae
Lysiloma divaricatum	Fabaceae
Lysiloma latisiliqua	Fabaceae
Lysiloma latisiliquum	Fabaceae
Lysiloma microphylla	Fabaceae
Lysiloma microphyllum	Fabaceae
Lysiloma sabicu	Fabaceae
Lysimachia atropurpurea	Primulaceae
Lysimachia christinae	Primulaceae
Lysimachia ciliata	Primulaceae
Lysimachia circaeoides	Primulaceae
Lysimachia clethroides	Primulaceae
Lysimachia ephemerum	Primulaceae
Lysimachia fortunei	Primulaceae
Lysimachia hybrida	Primulaceae
Lysimachia kalalauensis	Primulaceae
Lysimachia lanceolata	Primulaceae
Lysimachia mauritiana	Primulaceae
Lysimachia minoricensis	Primulaceae
Lysimachia nemorum	Primulaceae
Lysimachia nummularia	Primulaceae
Lysimachia punctata	Primulaceae
Lysimachia quadriflora	Primulaceae
Lysimachia quadrifolia	Primulaceae
Lysimachia ruhmeriana	Primulaceae
Lysimachia terrestris	Primulaceae
Lysimachia thyrsiflora	Primulaceae
Lysimachia verticillaris	Primulaceae
Lysimachia vulgaris	Primulaceae
Lysinema ciliatum	Epacridaceae
Lysiphyllum binatum	Fabaceae
Lysiphyllum cunninghamii	Fabaceae
Lysiphyllum gilvum	Fabaceae
Lysiphyllum hookeri	Fabaceae
Lythrum alatum	Lythraceae
Lythrum californicum	Lythraceae
Lythrum flexuosum	Lythraceae
Lythrum hyssopifolia	Lythraceae
Lythrum junceum	Lythraceae
Lythrum portula	Lythraceae
Lythrum salicaria	Lythraceae
Lythrum tribracteatum	Lythraceae
Lythrum virgatum	Lythraceae
Lytium idatum	
Maackia amurensis	Fabaceae
Maackia hupehensis	Fabaceae
Maackia tashiroi	Fabaceae
Maba angustifolia	Ebenaceae
Maba tropophylla	Ebenaceae
Mabea argutissima	Euphorbiaceae
Mabea biglandulosa	Euphorbiaceae
Mabea caudata	Euphorbiaceae
Mabea comun	Euphorbiaceae
Mabea klugii	Euphorbiaceae
Mabea maynensis	Euphorbiaceae
Mabea nitida	Euphorbiaceae
Mabea occidentalis	Euphorbiaceae
Mabea piriri	Euphorbiaceae
Mabea pulcherrima	Euphorbiaceae
Mabea sessiliflorum	Euphorbiaceae
Mabea speciosa	Euphorbiaceae
Mabea subserrulata	Euphorbiaceae
Mabea subsessilis	Euphorbiaceae
Mabea superbrondu	Euphorbiaceae
Mabea taquari	Euphorbiaceae
Maburea trinervis	Olacaceae
Macadamia hildebrandii	Proteaceae
Macadamia integrifolia	Proteaceae
Macadamia ternifolia	Proteaceae
Macadamia tetraphylla	Proteaceae
Macadamia whelani	Proteaceae
Macadamia whelanii	Proteaceae
Macairea parvifolia	Melastomataceae
Macairea rufescens	Melastomataceae
Macaranga aetheadenia	Euphorbiaceae
Macaranga aleuritoides	Euphorbiaceae
Macaranga alnifolia	Euphorbiaceae
Macaranga barteri	Euphorbiaceae
Macaranga beccariana	Euphorbiaceae
Macaranga bicolor	Euphorbiaceae
Macaranga brevipetiolata	Euphorbiaceae
Macaranga caladifolia	Euphorbiaceae
Macaranga capensis	Euphorbiaceae
Macaranga celebica	Euphorbiaceae
Macaranga conglomerata	Euphorbiaceae
Macaranga conifera	Euphorbiaceae
Macaranga denticulata	Euphorbiaceae
Macaranga diepenhorstii	Euphorbiaceae
Macaranga ferruginea	Euphorbiaceae
Macaranga gigantea	Euphorbiaceae
Macaranga gigantifolia	Euphorbiaceae
Macaranga grandifolia	Euphorbiaceae
Macaranga heynei	Euphorbiaceae
Macaranga hispida	Euphorbiaceae
Macaranga hosei	Euphorbiaceae
Macaranga hullettii	Euphorbiaceae
Macaranga hypoleuca	Euphorbiaceae
Macaranga inamoena	Euphorbiaceae
Macaranga inermis	Euphorbiaceae
Macaranga involucrata	Euphorbiaceae
Macaranga javanica	Euphorbiaceae
Macaranga kilimandscharica	Euphorbiaceae
Macaranga kingii	Euphorbiaceae
Macaranga lamellata	Euphorbiaceae
Macaranga leonardii	Euphorbiaceae
Macaranga longestipulata	Euphorbiaceae
Macaranga lowii	Euphorbiaceae
Macaranga maingayi	Euphorbiaceae
Macaranga mappa	Euphorbiaceae
Macaranga mellifera	Euphorbiaceae
Macaranga myriantha	Euphorbiaceae
Macaranga papuana	Euphorbiaceae
Macaranga paxii	Euphorbiaceae
Macaranga peltata	Euphorbiaceae
Macaranga populifolia	Euphorbiaceae
Macaranga pruinosa	Euphorbiaceae
Macaranga pseudopruinosa	Euphorbiaceae
Macaranga puncticulata	Euphorbiaceae
Macaranga pustulata	Euphorbiaceae
Macaranga recurvata	Euphorbiaceae
Macaranga rhizinoides	Euphorbiaceae
Macaranga sampsoni	Euphorbiaceae
Macaranga sampsonii	Euphorbiaceae
Macaranga schweinfurthii	Euphorbiaceae
Macaranga semiglobosa	Euphorbiaceae
Macaranga taitensis	Euphorbiaceae
Macaranga tanarius	Euphorbiaceae
Macaranga trachyphylla	Euphorbiaceae
Macaranga trichocarpa	Euphorbiaceae
Macaranga triloba	Euphorbiaceae
Macaranga winkleri	Euphorbiaceae
Macarisia lanceolata	Rhizophoraceae
Macarisia pyramidata	Rhizophoraceae
Macarthuria neo-cambrica	Molluginaceae
Macbrideina peruviana	Rubiaceae
Macfadyena mollis	Bignoniaceae
Macfadyena uncata	Bignoniaceae
Macfadyena unguis-cati	Bignoniaceae
Machaeranthera bigelovii	Asteraceae
Machaeranthera canescens	Asteraceae
Machaeranthera gracilis	Asteraceae
Machaeranthera orcuttii	Asteraceae
Machaeranthera pinnatifida	Asteraceae
Machaeranthera tagetina	Asteraceae
Machaeranthera tanacetifolia	Asteraceae
Machaeranthera tortifolia	Asteraceae
Machaerina angustifolia	Cyperaceae
Machaerina articulata	Cyperaceae
Machaerina glomerata	Cyperaceae
Machaerina juncea	Cyperaceae
Machaerina mariscoides	Cyperaceae
Machaerina rubiginosa	Cyperaceae
Machaerina tenax	Cyperaceae
Machaerina teretifolia	Cyperaceae
Machaerium aculeatum	Fabaceae
Machaerium acutifolium	Fabaceae
Machaerium allemanii	Fabaceae
Machaerium amazonense	Fabaceae
Machaerium arboreum	Fabaceae
Machaerium arenarium	Fabaceae
Machaerium arenorium	Fabaceae
Machaerium aristulatum	Fabaceae
Machaerium aureiflorum	Fabaceae
Machaerium biovulatum	Fabaceae
Machaerium brasiliense	Fabaceae
Machaerium cobanense	Fabaceae
Machaerium cuspidatum	Fabaceae
Machaerium dimorphandrum	Fabaceae
Machaerium dubium	Fabaceae
Machaerium ferox	Fabaceae
Machaerium finiparalel	Fabaceae
Machaerium firmum	Fabaceae
Machaerium floribundum	Fabaceae
Machaerium froesii	Fabaceae
Machaerium fulvovenosum	Fabaceae
Machaerium hirtum	Fabaceae
Machaerium humboldtianum	Fabaceae
Machaerium incorruptibile	Fabaceae
Machaerium inundatum	Fabaceae
Machaerium isadelphum	Fabaceae
Machaerium kegelii	Fabaceae
Machaerium lindenianum	Fabaceae
Machaerium lunatum	Fabaceae
Machaerium madeirense	Fabaceae
Machaerium microphyllum	Fabaceae
Machaerium milleflorum	Fabaceae
Machaerium millei	Fabaceae
Machaerium minutiflorum	Fabaceae
Machaerium multifoliolatum	Fabaceae
Machaerium myrianthum	Fabaceae
Machaerium nictitans	Fabaceae
Machaerium oblongifolium	Fabaceae
Machaerium obovatum	Fabaceae
Machaerium opacum	Fabaceae
Machaerium paraense	Fabaceae
Machaerium pittieri	Fabaceae
Machaerium quinata	Fabaceae
Machaerium riparium	Fabaceae
Machaerium robiniifolium	Fabaceae
Machaerium rosescens	Fabaceae
Machaerium salzmannii	Fabaceae
Machaerium scleroxylon	Fabaceae
Machaerium seemanni	Fabaceae
Machaerium seemannii	Fabaceae
Machaerium stipitatum	Fabaceae
Machaerium uncinatum	Fabaceae
Machaerium villosum	Fabaceae
Machaerocereus gummosus	Cactaceae
Machaonia hahniana	Rubiaceae
Machaonia spinosa	Rubiaceae
Machilus breviflora	Lauraceae
Machilus breviftora	Lauraceae
Machilus chinensis	Lauraceae
Machilus gammieana	Lauraceae
Machilus japonica	Lauraceae
Machilus leptophylla	Lauraceae
Machilus macrantha	Lauraceae
Machilus monticola	Lauraceae
Machilus pingii	Lauraceae
Machilus tenuipilis	Lauraceae
Machilus thunbergii	Lauraceae
Machilus velutina	Lauraceae
Mackinlaya confusa	Araliaceae
Mackinlaya macrosciadea	Araliaceae
Macleania crassa	Ericaceae
Macleania ericae	Ericaceae
Macleania hirtiflora	Ericaceae
Macleania loeseneriana	Ericaceae
Macleania mollis	Ericaceae
Macleania nitida	Ericaceae
Macleania pentaptera	Ericaceae
Macleania rupestris	Ericaceae
Macleania stricta	Ericaceae
Macleaya cordata	Papaveraceae
Macleaya microcarpa	Papaveraceae
Maclura africana	Moraceae
Maclura brasiliensis	Moraceae
Maclura cochinchinensis	Moraceae
Maclura excelsa	Moraceae
Maclura javanica	Moraceae
Maclura pomifera	Moraceae
Maclura regia	Moraceae
Maclura spinosa	Moraceae
Maclura tinctoria	Moraceae
Maclura tricuspidata	Moraceae
Maclurodendron porteri	Rutaceae
Macoubea guianensis	Apocynaceae
Macoubea sprucei	Apocynaceae
Macphersonia cauliflora	Sapindaceae
Macphersonia hildebrandtii	Sapindaceae
Macrocalyx nyctelea	Hydrophyllaceae
Macrocarpaea sodiroana	Gentianaceae
Macrocnemum glabrescens	Rubiaceae
Macrocnemum jamaicense	Rubiaceae
Macrocnemum roseum	Rubiaceae
Macroglena caudata	Hymenophyllaceae
Macrohasseltia macroterantha	Tiliaceae
Macrolobium acaciifolium	Fabaceae
Macrolobium angustifolium	Fabaceae
Macrolobium archeri	Fabaceae
Macrolobium bifolium	Fabaceae
Macrolobium colombianum	Fabaceae
Macrolobium costaricense	Fabaceae
Macrolobium gracile	Fabaceae
Macrolobium ischnocalyx	Fabaceae
Macrolobium latifolium	Fabaceae
Macrolobium limbatum	Fabaceae
Macrolobium microcalyx	Fabaceae
Macrolobium multijugum	Fabaceae
Macrolobium prancei	Fabaceae
Macrolobium stenocladum	Fabaceae
Macrolobium suaveolens	Fabaceae
Macromitrium microstomum	
Macromitrium piliferum	
Macropanax dispermum	Araliaceae
Macropanax oreophilus	Araliaceae
Macropharynx spectabilis	Apocynaceae
Macropiper excelsum	Piperaceae
Macropteranthes fitzalanii	Combretaceae
Macroptilium atropurpureum	Fabaceae
Macroptilium bracteatum	Fabaceae
Macroptilium gracile	Fabaceae
Macroptilium lathyroides	Fabaceae
Macroptilium prostratum	Fabaceae
Macrosamanea pedicellaris	Fabaceae
Macroscepis diademata	Asclepiadaceae
Macrosolen cochinchinensis	Loranthaceae
Macrosphyra longistyla	Rubiaceae
Macrotomia euchroma	Boraginaceae
Macrotyloma africanum	Fabaceae
Macrotyloma axillare	Fabaceae
Macrotyloma biflorum	Fabaceae
Macrotyloma daltonii	Fabaceae
Macrotyloma decipiens	Fabaceae
Macrotyloma densiflorum	Fabaceae
Macrotyloma dewildemanianum	Fabaceae
Macrotyloma ellipticum	Fabaceae
Macrotyloma fimbriatum	Fabaceae
Macrotyloma geocarpum	Fabaceae
Macrotyloma hockii	Fabaceae
Macrotyloma oliganthum	Fabaceae
Macrotyloma prostratum	Fabaceae
Macrotyloma rupestre	Fabaceae
Macrotyloma stipulosum	Fabaceae
Macrotyloma tenuiflorum	Fabaceae
Macrotyloma uniflorum	Fabaceae
Macrozamia communis	Zamiaceae
Macrozamia plurinervia	Zamiaceae
Macrozamia reidlei	Zamiaceae
Macrozamia riedlei	Zamiaceae
Macrozamia spiralis	Zamiaceae
Maddenia hypoxantha	Rosaceae
Madhuca alpina	Sapotaceae
Madhuca betis	Sapotaceae
Madhuca boerlageana	Sapotaceae
Madhuca burckiana	Sapotaceae
Madhuca coriacea	Sapotaceae
Madhuca crassipes	Sapotaceae
Madhuca cuneata	Sapotaceae
Madhuca curtisii	Sapotaceae
Madhuca elliptica	Sapotaceae
Madhuca glaberrima	Sapotaceae
Madhuca glabrescens	Sapotaceae
Madhuca hainanensis	Sapotaceae
Madhuca indica	Sapotaceae
Madhuca kingiana	Sapotaceae
Madhuca korthalsii	Sapotaceae
Madhuca lancifolia	Sapotaceae
Madhuca latifolia	Sapotaceae
Madhuca laurifolia	Sapotaceae
Madhuca leucodermis	Sapotaceae
Madhuca ligulata	Sapotaceae
Madhuca longifolia	Sapotaceae
Madhuca magnifolia	Sapotaceae
Madhuca malaccensis	Sapotaceae
Madhuca mindanaensis	Sapotaceae
Madhuca motleyana	Sapotaceae
Madhuca obovatifolia	Sapotaceae
Madhuca ovata	Sapotaceae
Madhuca pallida	Sapotaceae
Madhuca penangiana	Sapotaceae
Madhuca penicillata	Sapotaceae
Madhuca rupicola	Sapotaceae
Madhuca sandakanensis	Sapotaceae
Madhuca sarawakensis	Sapotaceae
Madhuca sericea	Sapotaceae
Madhuca sessilis	Sapotaceae
Madhuca subquincuncialis	Sapotaceae
Madhuca tomentosa	Sapotaceae
Madhuca utilis	Sapotaceae
Madia elegans	Asteraceae
Madia exigua	Asteraceae
Madia glomerata	Asteraceae
Madia gracilis	Asteraceae
Madia madioides	Asteraceae
Madia nutans	Asteraceae
Madia radiata	Asteraceae
Madia sativa	Asteraceae
Maerua acuminata	Capparaceae
Maerua andradae	Capparaceae
Maerua angolensis	Capparaceae
Maerua brunnescens	Capparaceae
Maerua bussei	Capparaceae
Maerua buxifolia	Capparaceae
Maerua cafra	Capparaceae
Maerua cerasicarpa	Capparaceae
Maerua crassifolia	Capparaceae
Maerua edulis	Capparaceae
Maerua endlichii	Capparaceae
Maerua filiformis	Capparaceae
Maerua friesii	Capparaceae
Maerua grantii	Capparaceae
Maerua juncea	Capparaceae
Maerua kirkii	Capparaceae
Maerua nervosa	Capparaceae
Maerua nuda	Capparaceae
Maerua oblongifolia	Capparaceae
Maerua paniculata	Capparaceae
Maerua parviflora	Capparaceae
Maerua parvifolia	Capparaceae
Maerua prittwitzii	Capparaceae
Maerua pubescens	Capparaceae
Maerua pygmaea	Capparaceae
Maerua rosmarinoides	Capparaceae
Maerua salicifolia	Capparaceae
Maerua scandens	Capparaceae
Maerua schliebenii	Capparaceae
Maerua triphylla	Capparaceae
Maesa chisia	Myrsinaceae
Maesa dependens	Myrsinaceae
Maesa indica	Myrsinaceae
Maesa insignis	Myrsinaceae
Maesa japonica	Myrsinaceae
Maesa lanceolata	Myrsinaceae
Maesa macrophylla	Myrsinaceae
Maesa macrothyrsa	Myrsinaceae
Maesa montana	Myrsinaceae
Maesa perlarius	Myrsinaceae
Maesa ramentacea	Myrsinaceae
Maesa schweinfurthii	Myrsinaceae
Maesa tenera	Myrsinaceae
Maesobotrya barteri	Euphorbiaceae
Maesobotrya floribunda	Euphorbiaceae
Maesopsis eminii	Rhamnaceae
Magnistipula butayei	Chrysobalanaceae
Magnistipula cerebriformis	Chrysobalanaceae
Magnistipula sapinii	Chrysobalanaceae
Magnolia acuminata	Magnoliaceae
Magnolia albosericea	Magnoliaceae
Magnolia amoena	Magnoliaceae
Magnolia ashei	Magnoliaceae
Magnolia campbellii	Magnoliaceae
Magnolia candollei	Magnoliaceae
Magnolia candollii	Magnoliaceae
Magnolia cathcartii	Magnoliaceae
Magnolia championii	Magnoliaceae
Magnolia coco	Magnoliaceae
Magnolia cylindrica	Magnoliaceae
Magnolia dawsoniana	Magnoliaceae
Magnolia delavayi	Magnoliaceae
Magnolia denudata	Magnoliaceae
Magnolia drymifolia	Magnoliaceae
Magnolia dubia	Magnoliaceae
Magnolia elegans	Magnoliaceae
Magnolia fraseri	Magnoliaceae
Magnolia gigantifolia	Magnoliaceae
Magnolia globosa	Magnoliaceae
Magnolia grandiflora	Magnoliaceae
Magnolia henryi	Magnoliaceae
Magnolia heptapeta	Magnoliaceae
Magnolia hodgsonii	Magnoliaceae
Magnolia hypoleuca	Magnoliaceae
Magnolia iltisiana	Magnoliaceae
Magnolia kobus	Magnoliaceae
Magnolia liliflora	Magnoliaceae
Magnolia liliifera	Magnoliaceae
Magnolia loebneri	Magnoliaceae
Magnolia macklottii	Magnoliaceae
Magnolia maclatii	Magnoliaceae
Magnolia macrophylla	Magnoliaceae
Magnolia minor	Magnoliaceae
Magnolia nitida	Magnoliaceae
Magnolia obovata	Magnoliaceae
Magnolia officinalis	Magnoliaceae
Magnolia ovata	Magnoliaceae
Magnolia phanerophlebia	Magnoliaceae
Magnolia poasana	Magnoliaceae
Magnolia portoricensis	Magnoliaceae
Magnolia quinquepeta	Magnoliaceae
Magnolia salicifolia	Magnoliaceae
Magnolia sambuensis	Magnoliaceae
Magnolia sargentiana	Magnoliaceae
Magnolia schiedeana	Magnoliaceae
Magnolia sieboldii	Magnoliaceae
Magnolia sororum	Magnoliaceae
Magnolia soulangeana	Magnoliaceae
Magnolia splendens	Magnoliaceae
Magnolia sprengeri	Magnoliaceae
Magnolia stellata	Magnoliaceae
Magnolia tamaulipana	Magnoliaceae
Magnolia tripetala	Magnoliaceae
Magnolia villosa	Magnoliaceae
Magnolia virginiana	Magnoliaceae
Magnolia wilsonii	Magnoliaceae
Magnolia yoroconte	Magnoliaceae
Magnolia zenii	Magnoliaceae
Magonia pubescens	Sapindaceae
Magydaris panacifolia	Apiaceae
Mahonia aquifolium	Berberidaceae
Mahonia bealei	Berberidaceae
Mahonia fremontii	Berberidaceae
Mahonia japonica	Berberidaceae
Mahonia lomariifolia	Berberidaceae
Mahonia nervosa	Berberidaceae
Mahonia pinnata	Berberidaceae
Mahonia repens	Berberidaceae
Mahonia trifoliata	Berberidaceae
Mahonia trifoliolata	Berberidaceae
Mahonia wagneri	Berberidaceae
Mahurea exstipulata	Clusiaceae
Mahurea palustris	Clusiaceae
Maianthemum bifolium	Convallariaceae
Maianthemum canadense	Convallariaceae
Maianthemum dilatatum	Convallariaceae
Maianthemum racemosum	Convallariaceae
Maianthemum stellatum	Convallariaceae
Maieta guianensis	Melastomataceae
Maihuenia poeppigii	Cactaceae
Maihueniopsis atacamensis	Cactaceae
Maihueniopsis colorea	Cactaceae
Maihueniopsis conoidea	Cactaceae
Maihueniopsis grandiflora	Cactaceae
Maihueniopsis ovata	Cactaceae
Maillardia pendula	Moraceae
Maireana aphylla	Chenopodiaceae
Maireana appressa	Chenopodiaceae
Maireana astrotricha	Chenopodiaceae
Maireana brevifolia	Chenopodiaceae
Maireana carnosa	Chenopodiaceae
Maireana cheelii	Chenopodiaceae
Maireana ciliata	Chenopodiaceae
Maireana coronata	Chenopodiaceae
Maireana decalvans	Chenopodiaceae
Maireana eriantha	Chenopodiaceae
Maireana erioclada	Chenopodiaceae
Maireana georgei	Chenopodiaceae
Maireana humillima	Chenopodiaceae
Maireana integra	Chenopodiaceae
Maireana lobiflora	Chenopodiaceae
Maireana microcarpa	Chenopodiaceae
Maireana microphylla	Chenopodiaceae
Maireana pentagona	Chenopodiaceae
Maireana pentatropis	Chenopodiaceae
Maireana pyramidata	Chenopodiaceae
Maireana radiata	Chenopodiaceae
Maireana sclerolaenoides	Chenopodiaceae
Maireana scleroptera	Chenopodiaceae
Maireana sedifolia	Chenopodiaceae
Maireana tomentosa	Chenopodiaceae
Maireana triptera	Chenopodiaceae
Maireana villosa	Chenopodiaceae
Majidea zanguebarica	Sapindaceae
Majorana hortensis	Lamiaceae
Malabaila secacul	Apiaceae
Malabaila sekakul	Apiaceae
Malacantha alnifolia	Sapotaceae
Malachium aquaticum	Caryophyllaceae
Malachra alceaefolia	Malvaceae
Malachra alceifolia	Malvaceae
Malachra capitata	Malvaceae
Malachra fasciata	Malvaceae
Malacocera tricornis	Chenopodiaceae
Malacothamnus densiflorus	Malvaceae
Malacothamnus fasciculatus	Malvaceae
Malacothrix blairii	Asteraceae
Malacothrix californica	Asteraceae
Malacothrix clevelandii	Asteraceae
Malacothrix coulteri	Asteraceae
Malacothrix foliosa	Asteraceae
Malacothrix glabrata	Asteraceae
Malacothrix saxatilis	Asteraceae
Malacothrix sonchoides	Asteraceae
Malaisia scandens	Moraceae
Malania oleifera	Olacaceae
Malaxis corymbosa	Orchidaceae
Malaxis katangensis	Orchidaceae
Malaxis maclaudii	Orchidaceae
Malaxis monophyllos	Orchidaceae
Malaxis pollardii	Orchidaceae
Malaxis prorepens	Orchidaceae
Malaxis rosei	Orchidaceae
Malaxis rosilloi	Orchidaceae
Malaxis schliebenii	Orchidaceae
Malaxis weberbaueriana	Orchidaceae
Malcolmia africana	Brassicaceae
Malcolmia behboudiana	Brassicaceae
Malcolmia chia	Brassicaceae
Malcolmia crenulata	Brassicaceae
Malcolmia flexuosa	Brassicaceae
Malcolmia graeca	Brassicaceae
Malcolmia lacera	Brassicaceae
Malcolmia littorea	Brassicaceae
Malcolmia maritima	Brassicaceae
Malcolmia pygmaea	Brassicaceae
Malcolmia ramosissima	Brassicaceae
Malcolmia trichocarpa	Brassicaceae
Malephora crocea	Aizoaceae
Malephora lutea	Aizoaceae
Malesherbia auristipulata	Malesherbiaceae
Malesherbia densiflora	Malesherbiaceae
Malesherbia fasciculata	Malesherbiaceae
Malesherbia humilis	Malesherbiaceae
Malesherbia lactea	Malesherbiaceae
Malesherbia linearifolia	Malesherbiaceae
Malesherbia lirana	Malesherbiaceae
Malesherbia paniculata	Malesherbiaceae
Malesherbia rugosa	Malesherbiaceae
Malesherbia tenuifolia	Malesherbiaceae
Malleastrum antsingyense	Meliaceae
Malleastrum isalense	Meliaceae
Malleastrum leroyi	Meliaceae
Malleostemon peltiger	Myrtaceae
Mallotus affinis	Euphorbiaceae
Mallotus albus	Euphorbiaceae
Mallotus anomalus	Euphorbiaceae
Mallotus apelta	Euphorbiaceae
Mallotus arboreus	Euphorbiaceae
Mallotus barbatus	Euphorbiaceae
Mallotus beccarii	Euphorbiaceae
Mallotus blumeanus	Euphorbiaceae
Mallotus caudatus	Euphorbiaceae
Mallotus cochinchinensis	Euphorbiaceae
Mallotus discolor	Euphorbiaceae
Mallotus echinatus	Euphorbiaceae
Mallotus floribundus	Euphorbiaceae
Mallotus griffithianus	Euphorbiaceae
Mallotus japonicus	Euphorbiaceae
Mallotus macrostachyus	Euphorbiaceae
Mallotus mollissimus	Euphorbiaceae
Mallotus moritzianus	Euphorbiaceae
